Signatur;PID;Mappe;Seiten XML;lokal;METS;Backup;GAMS-URLs;Bildmasse;Objekttyp;Autor;Datum;Sprache METS;Sprache erkannt;Transkribiert;Befund
SZ-AAL/B1.181;o:szd.3112;SZ_AAL_B1.181;5;5;5;5;OK;OK;Brief;Zweig, Stefan;15.11.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.182;o:szd.3113;SZ_AAL_B1.182;3;3;3;3;OK;OK;Brief;Zweig, Lotte;16.11.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.183;o:szd.3114;SZ_AAL_B1.183;3;3;3;3;OK;OK;Brief;Zweig, Lotte;24.11.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.184;o:szd.3115;SZ_AAL_B1.184;3;3;3;3;OK;OK;Brief;Zweig, Stefan;24.11.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.185;o:szd.3116;SZ_AAL_B1.185;5;5;5;5;OK;OK;Brief;Zweig, Lotte;2.12.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.186;o:szd.3117;SZ_AAL_B1.186;3;3;3;3;OK;OK;Brief;Zweig, Stefan;10.12.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.187;o:szd.3118;SZ_AAL_B1.187;3;3;3;3;OK;OK;Brief;Zweig, Stefan;31.12.1941;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.188;o:szd.3119;SZ_AAL_B1.188;3;3;3;3;OK;OK;Brief;Zweig, Lotte;10.1.1942;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.189;o:szd.3120;SZ_AAL_B1.189;3;3;3;3;OK;OK;Brief;Zweig, Lotte;01.1942;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.19;o:szd.3121;SZ_AAL_B1.19;3;3;3;3;OK;OK;Brief;Zweig, Stefan;28.11.1939;Deutsch (pauschal);-;nein;OK
SZ-AAL/B1.190;o:szd.3122;SZ_AAL_B1.190;3;3;3;3;OK;OK;Brief;Zweig, Lotte;16.1.1942;Deutsch (pauschal);-;nein;OK
